图片,译名,片名,年代,产地,类别,语言,字幕,上映日期,片长,导演,主演,简介,下载链接
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-12/3d9df268eff7b7dce66a699546b54c2f.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-12/7a0949827147873c803c3c160e652e59.jpg']",Ready or Knot,不日成婚,2021,中国香港,"['喜剧', '爱情']",汉语普通话/粤语,中文字幕,2021-04-11,95 Mins,陈茂贤,"['陈家乐', '卫诗雅', '朱�嗫�', '谈善言', '岑珈其', '杨�朴�', '邵音音']",阿佳 (陈家乐 饰)与可怡（卫诗雅 饰）在一个婚礼上相识，两人一拍即合，相爱五年，终于迎来最大的感情危机－“结婚”！女方视结婚为爱的证明；男方视结婚为爱的坟墓，二人在这议题上互有攻守，展开了一场男女之间深层次的角力！ 可怡的闺蜜Jenny (谈善言 饰)与Jessica (杨�朴� 饰) 出谋献策，教她奇招务求怀孕上身！一旦怀孕，婚事不就势在必行？！阿佳眼见可怡对自己展开“逼婚计划”，惟有在兄弟灰熊（朱�嗫� 饰）与阿健(岑珈其 饰) 的帮忙下积极迎战，誓要坚守不婚底线！ 女方计谋被连番识破，Jessica只好掏出杀着－春药！得知消息的灰熊冒着生命危险通风报信，阿佳虽已有所防范，但还是百密一疏，中了可怡的圈套，渡过了极爽快的“无套一夜”！事后阿佳提心吊胆，最反对结婚的浪子阿健立即提出“事后大行动”— 务求在黄金三十六小时内，将事后避孕丸偷偷让可怡服下！ 然而，阿佳冷静过后，还是打消了念头，但事情最终败露。阿佳百口莫辩，可怡心灰意冷，决绝提出分手。恢复单身的二人心境大不相同，可怡在姐妹的陪伴下走出阴霾，重新出发，将生活的重心放回自身，重拾Working Holiday的心愿。 那边厢阿佳自以为潇洒，尽情享受单身的自由，但随时间推移却愈发空虚难耐，此时他才明白比起面对婚姻，他最恐惧的，原来是永远失去可怡！为追回即将飞往他国的女友，他当机立断，誓要策划一场“不日成婚”大行动！,['magnet:?xt=urn:btih:98809952ed17232a5e97c560aa385ac9cf7f7e6a&dn=[电影天堂www.dytt89.com]不日成婚-2021_HD国粤双语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/d3771c33597ff50434713e98f8d95e63.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/1c8bba7025fa771b26a01537d8535a17.jpg']",心里有数,心里有数,2021,中国大陆,"['喜剧', '爱情', '奇幻']",汉语普通话,中文字幕,2021-04-08,90 Mins,武雨泽,"['何欢', '罗丹笛', '纯情阿伟', '包贝尔', '文松', '张鹤伦']",阿欢从小就有一个很“废”的超能力：挨一耳光就能看见他和别人剩下的见面次数。一次意外让他深信，一旦突破了次数的限制就会带来厄运。从此阿欢得过且过，游戏人间。而青梅竹马的晓彤和阿欢的见面次数高达一万多，他本以为注定是一生的伴侣，所以毫不珍惜。直到有一天，阿欢发现自己和晓彤的见面次数只剩下几次，好哥们阿伟也要离他而去。他意识到自己必须做出改变。阿欢能否打破命运的魔咒呢？,['magnet:?xt=urn:btih:248004a2b848901a063a692a2ea65ce53a6e9321&dn=[电影天堂www.dytt89.com]心里有数-2021_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/930c74d68ce2630aa6be9cf4903c694b.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/164e8e22d14795dd07e2e2c51527d69d.jpg']",雷霆之力,Thunder Force,2021,美国,"['喜剧', '动作']",英语,中英双字幕,2021-04-09,108 Mins,本·法尔科内,"['梅丽莎·麦卡西', '奥克塔维亚·斯宾瑟', '庞·克莱门捷夫', '杰森·贝特曼', '梅丽莎·里奥', '鲍比·坎纳瓦尔', '莎拉·贝克', '梅丽莎·庞西奥', 'Shane Berengue', 'Tyrel Jackson Williams', '布拉克斯顿·比肯', '特雷弗·拉科姆', '帕特里克·R·沃克', '马塞拉·洛维里', '泰·玛哈尼', '施奎塔·詹姆斯', 'John Crow', '肖恩·雷卡特尔', '佩拉·米德尔顿']",本片讲述在一个充满超级反派的世界里，Emily Stanton（Octavia Spencer饰演）意外令前闺蜜Lydia（Melissa McCarthy饰演）拥有了超能力，而两位女主得联手组成「雷霆女神」，对付反派「The King」并保护芝加哥。,['magnet:?xt=urn:btih:281c75036fc7f5a9704c7881b525c3be333dd815&dn=[电影天堂www.dytt89.com]雷霆女神-2021_BD中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-09/6e5686be47c85cd3840bb6f2d451077c.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-09/26c6671738ea3d73ee72ae85e84b6472.jpg']",尤巴猛料,Breaking News In Yuba County,2021,英国/美国,"['喜剧', '惊悚', '犯罪', '剧情']",英语,中英双字幕,2021-02-12,97Mins,泰特·泰勒,"['艾莉森·珍妮', '米拉·库尼斯', '奥卡菲娜', '旺达·塞克丝', '马修·莫迪恩', '萨米拉·威利', '艾伦·巴金', '朱丽叶特·刘易斯', '雷吉娜·赫尔', '吉米·辛普森', '克里斯·劳威尔', '小克利夫顿·克林斯', '布里奇特·埃弗里特', '马塞拉·伦茨·波普', '多米尼克·伯吉斯', '露西·浮士德', '申庚', '西尔维娅·格雷丝·克里姆', '迪内·泰勒', 'T·C·马特恩', '彼得·詹梅斯']",苏·宝特姆斯(珍妮饰)将丈夫与一个女子捉奸在床，却没成想，她的丈夫被吓到心脏病发离世。苏随即把丈夫尸身埋掉。老公的消失，倒是让苏的名望、地位日益增长。但是苏很快发现，她自己不仅要躲避警察和罪犯，更要对她那迫切想要获得猛料的新闻主播妹妹南希三缄其口。,['magnet:?xt=urn:btih:08c5afb5e78a90094af3e0d7c0ce5c4624244cbd&dn=[电影天堂www.dytt89.com]尤巴县突发新闻-2021_BD中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-09/522d6fb47ea94fda493365a6fc1c5b6b.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-09/f22dd2c585b63e2fc9082120ced112a2.jpg']",追钱逗爱熊仁镇/欢迎来到熊仁镇/Welcome to the Beartown,逗爱熊仁镇,2019,中国大陆,"['喜剧', '爱情']",汉语普通话,中英双字幕,2019-09-07,103 Mins,查慕春,"['朱亚文', '张榕容', '王亮', '郄路通', '韩彦博', '卢野', '钱波', '王旭峰', '多布杰', '刘十六']",电影讲述了同在一间银行ATM部门中工作的何必（朱亚文饰）与蒙小鲜（张榕容饰），由于公司禁止办公室恋情，正秘密的谈着地下恋爱。与此同时300公里以外的熊仁镇一个ATM机出现故障，取一倍的钱吐两倍的现金，造成银行财产损失。于是蒙小鲜和何必约定，谁先找到被多取得钱谁就可以留在银行，另一个必须辞职。于是一场争钱斗爱的游戏在小镇迅速展开。,['magnet:?xt=urn:btih:60aee8150b864d050a690fe2674997a10cb93e80&dn=[电影天堂www.dytt89.com]逗爱熊仁镇-2019_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-09/db22624c9c353c7a76d2dee8dba9bd54.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-09/f5b8681abf4ba103d5f2c187ddf89f7e.jpg']",映像研には手を出すな！,别对映像研出手！,2020,日本,['喜剧'],日语,中文字幕,2020-09-25,114 Mins,英勉,"['斋藤飞鸟', '山下美月', '梅泽美波', '小西樱子', '滨边美波', '板垣瑞生', '樱田日和', '赤楚卫二']",高中1年级学生浅草绿（斋藤飞鸟 饰），是强调“设定即生命”的动画迷。,['magnet:?xt=urn:btih:e4d41a158c4ad67d36f97d3676e84e8a6095a3ac&dn=[电影天堂www.dytt89.com]别对映像研出手-2020_BD日语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-07/a3dcb2d49d96e56a823cff4888e118aa.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-07/51dd4b2567c8c53b99922d59f3328936.jpg']",,腿,2020,中国台湾,['喜剧'],汉语普通话,中文字幕,2020-12-24,116 Mins,张耀升,"['桂纶镁', '杨�v宁', '张少怀', '李李仁', '金士杰', '林志儒', '陈以文', '张立东', '王自强', '杨丽音', '刘亮佐', '施名帅', '黄健玮', '纳豆', '刘冠廷']",钱钰盈（桂纶镁饰）的丈夫郑子汉（杨�v宁饰）在腿部截肢手术后不幸离世，钱钰盈想拿回丈夫被截肢的腿，却被医院百般刁难、互踢皮球，于是一场异想天开的“夺腿计划”就此展开！她缠着外科医生要求帮忙，跑到一般人从未见过的医院地下室，在一包包检体中寻找丈夫的腿，甚至找上内勤人员监控医院合作车辆的GPS，闹到医院院长都来关切…,['magnet:?xt=urn:btih:b47b2c962a1b8579485c61e19cac409686196811&dn=[电影天堂www.dytt89.com]腿-2020_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/dyzz/2020-12-26/ffcceec3fc2262f5866e7a7ecc7c0e4c.jpg', 'https://img.dytt89.com/d/file/html/gndy/dyzz/2020-12-27/48aa82104b22535b30539d426249966d.jpg']",Soul/灵魂奇遇记(港)/灵魂急转弯(台)/灵魂/心灵,心灵奇旅,2020,美国,"['动画', '喜剧', '音乐', '奇幻', '冒险']",英语,中文字幕,2020-12-25,101 Mins,彼特·道格特,"['杰米·福克斯', '蒂娜·菲', '格拉汉姆·诺顿', '瑞切尔·豪斯', '戴维德·迪格斯', '艾莉丝·布拉加', '理查德·艾欧阿德', '菲利西亚·拉斯海德', '唐尼尔·罗林斯', '阿米尔-哈利卜·汤普森', '安吉拉·贝塞特', '马戈·霍尔', '罗德莎·琼斯', '韦斯·斯塔迪', '沙基纳·贾弗里', '福琼·费姆斯特']",主角Gardner是一个生活很容易看穿的中学音乐老师，而他真正的梦想是弹钢琴——不是像他现在做的一样只教孩子们弹钢琴，而是以做音乐、做爵士乐来谋生。当他终于拿到人生第一份音乐人的工作，却不小心掉进了下水道“死”了，并在一个黑洞中醒来，成为了一个孤独的灵魂。,"['magnet:?xt=urn:btih:5b3104f369d86d11e656987fb4d8b5b99d6c76a4&dn=[电影天堂www.dytt89.com]心灵奇旅-2020_BD国英双语特效中英双字.mp4', 'magnet:?xt=urn:btih:2a3d7f504ac5725744c9dfc3eccfd47079349f5b&dn=[电影天堂www.dytt89.com]心灵奇旅-2020_BD中英双字.mp4\r']"
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-02/36db5c8c87750fd567743c9847932546.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-02/b0b1553a95147ae9b5ac044515851c31.jpg']",Barb and Star go to Vista Del Mar,巴布与斯塔尔的维斯塔德尔玛之旅,2021,美国,['喜剧'],英语,中英双字幕,2021-02-12,109 Mins,乔什·戈林鲍姆,"['克里斯汀·韦格', '安妮·玛莫罗', '詹米·多南', '小达蒙·韦恩斯', '迈克尔·希区柯克', '科瓦米·帕特森', 'Reyn Doi', '温迪·麦克伦登-考威', 'Mark Jonathan Davis', '汤姆·伦克', '汉克·罗杰森', '福琼·费姆斯特', '瓦妮莎·贝尔', '菲利丝·史密斯', '罗斯·阿卜杜', '娜塔莎·埃斯卡', '丸山凯伦', '麦克·米勒', 'Adrian Makala', '罗布·卡瓦佐斯']",故事讲述两名好友第一次离开中西部的小镇去弗罗里达度假。在度假时，她们被卷入了一场坏人要杀死镇上每一个人的恐怖阴谋中。,['magnet:?xt=urn:btih:8171074e2ff157030c9b91867bc39a1cb127fbc3&dn=[电影天堂www.dytt89.com]巴布与斯塔尔的维斯塔德尔玛之旅-2021_BD中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-03-30/48bba21dbe2b47848225b839b17c4b4e.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-03-30/26913dfa1b7f429fde8860bde54346bc.jpg']",牛宰裤(台),Slaxx,2020,加拿大,"['喜剧', '恐怖']",英语,中文字幕,2020-08-23,74 Mins,埃尔扎·凯普哈特,"['Romane Denis', '布雷特·多纳休', 'Sehar Bhojani', 'Kenny Wong', 'Tianna Nori', 'Erica Anderson', '斯蒂夫·博加尔特', 'Jonathan Emond', '阿曼达·赵', 'Jessica B. Hill', 'Pritha Mazumdar', 'Elizabeth Neale', '\xa0汉娜克·塔波特', 'Aris Tyros']",当拥有的牛仔裤开始杀死一家新潮服装店的员工时，由理想主义的年轻售货员Libby阻止其血腥横行。,['magnet:?xt=urn:btih:4766e71c4ef416d57e3da6fb9731e67744a19f60&dn=[电影天堂www.dytt89.com]杀人牛仔裤-2020_BD英语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-03-28/78f30b5f4f8b3de87992b8bfbee953b2.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-03-28/2f78938201cbcd76c591a6305ac1b8fc.jpg']",老潘的归途,老潘的归途,2021,中国大陆,['喜剧'],汉语普通话,中文字幕,2021-03-28,81 Mins,郭亚鹏,"['潘长江', '蒲萄', '刘书源']",罹患肺癌，已至晚期的潘家富在旅行途中认识叛逆的大四女孩小米，二人共同踏上从牡丹江南下临沂的旅程。在旅行中，小米逐渐被阅历丰富的潘家富所影响，体会到了家庭的温暖，与母亲和解;潘家富也被古灵精怪的小米所感染，完成了与旧友言归于好，弥补妻子的心愿以及回到老家临沂解开自己一生最大的心结等愿望。潘家富目睹家乡旧貌换新颜，不再是“荒芜、留守的农村、记忆中的故园“，潘家富终觉此生无憾......,['magnet:?xt=urn:btih:0ba198da44a3c84002cdea713e53d4745a320f11&dn=[电影天堂www.dytt89.com]老潘的归途-2021_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-03-28/e3ef15844a9636bb041a7674282242d5.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-03-28/d796e5729dd2bcef2543235f299f863c.jpg']",旧爱灵灵妻(台)/欢乐的精灵,Blithe Spirit,2020,英国,"['喜剧', '爱情', '奇幻']",英语,中文字幕,2020-12-25,100 Mins,爱德华·霍尔,"['艾拉·菲舍尔', '丹·史蒂文斯', '莱斯利·曼恩', '朱迪·丹奇', '艾米莉娅·福克斯', '艾咪费欧·爱德华兹', '朱利安·林希德-图特', '詹姆斯·弗雷特', '西蒙·坤茨', '米歇尔·多特里斯', '科林·斯廷顿', '戴夫·琼斯', '乔治娜·里奇', '斯特拉·斯托克尔', '朱利安·费罗', '马汀·麦格', '伊西·范·兰德威克', '凯莉·库克']",故事讲述一名犯罪小说家查尔斯(丹·史蒂文斯 饰)遭遇写作障碍，他邀请了古怪的神秘主义者(朱迪·丹奇 饰)表演降神以获得灵感，结果前妻(莱斯利·曼恩 饰)的鬼魂被意外召唤了出来，这个鬼魂想杀了查尔斯这样他们就能来世再聚。而现任妻子露丝(艾拉·菲舍尔 饰)看不见鬼魂，还担心自己的丈夫已经彻底疯了。,['magnet:?xt=urn:btih:0c06b5b942b37c1c269349dc0dbeb9cf6206ae6a&dn=[电影天堂www.dytt89.com]欢快的鬼魂-2020_BD英语中字.mp4']
